marker,consensus,X1,X2,X3,X4,X5,X6,LG,,gaccession,blast1,blast2,,,,,,,,,,,,,,,,,
scaffold_54537_2052,1.47,0,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_7514_3882,1.47,0,,,,,0,1,14,g10585.t1,"XP_002516472 Vacuolar-processing enzyme precursor, putative [Ricinus communis].", legumain [EC:3.4.22.34],,,,,,,,,,,,,,,,,
scaffold_91922_297,1.47,0,,,,,0,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_53968_1134,2.11,0,0,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_109849_178,2.11,,0,,,0,,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_7138_265,2.11,,0,,,0,0,1,14,,,,,,,,,,,,,,,,,,,,
scaffold_7138_268,2.11,,0,,,0,0,1,14,,,,,,,,,,,,,,,,,,,,
scaffold_7138_293,2.11,,0,,,0,0,1,14,,,,,,,,,,,,,,,,,,,,
scaffold_35314_2820,2.11,,,,,,0,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_14462_3037,2.11,,,,,,0,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_17891_4953,2.11,,,,,,0,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_124213_198,2.9,1.43,0,,,,,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_27699_4259,2.9,,0,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_65323_1244,2.9,,0,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_76130_520,2.9,,0,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_16810_3436,2.9,,0,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_16810_3459,2.9,,0,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_16810_3463,2.9,,0,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_16810_3565,2.9,,0,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_16810_3591,2.9,,0,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_16810_3636,2.9,,0,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_65323_1295,2.9,,0,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_8624_6846,2.9,,0,,,,,1,14,g11662.t1,,0,,,,,,,,,,,,,,,,,
SCF4386,2.9,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,
scaffold_9628_2399,6.31,,3.41,,,,,1,14,g12623.t1,XP_002265359 PREDICTED: cyclin-dependent kinase F-4-like [Vitis vinifera]., male germ cell-associated kinase [EC:2.7.11.22],,,,,,,,,,,,,,,,,
scaffold_53968_1035,6.31,,3.41,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_9628_2504,6.31,,3.41,,,,,1,14,g12623.t1,XP_002265359 PREDICTED: cyclin-dependent kinase F-4-like [Vitis vinifera]., male germ cell-associated kinase [EC:2.7.11.22],,,,,,,,,,,,,,,,,
scaffold_76161_1307,7.51,0,,,,,8.98,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_11402_4025,7.51,0,,,,,8.98,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_3169_10335,7.51,0,,,,,8.98,1,14,g5534.t1,XP_004295401 PREDICTED: G-type lectin S-receptor-like serine/threonine-protein kinase RKS1-like [Fragaria vesca subsp. vesca].,0,,,,,,,,,,,,,,,,,
scaffold_103838_294,7.51,1.43,3.41,,,9.01,,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_19502_3457,7.51,6.04,,,,,8.98,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_11266_2720,7.51,6.04,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_32919_297,7.51,6.04,,,,,,1,15,g27347.t1,XP_002278594 PREDICTED: aluminum-activated malate transporter 12 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_34590_3437,7.51,6.04,,,,,,1,15,g28013.t1,XP_002278326 PREDICTED: transcriptional regulator SUPERMAN [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_11648_1119,7.51,7.11,3.41,,,,8.98,1,15,g14472.t1,XP_002277376 PREDICTED: uncharacterized protein LOC100262589 [Vitis vinifera]., E3 ubiquitin-protein ligase RNF14 [EC:6.3.2.19],,,,,,,,,,,,,,,,,
scaffold_119801_313,7.51,,5.4,,,7.51,4.49,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_2968_8231,7.51,,,,,7.51,8.98,1,14,g5233.t1,,0,,,,,,,,,,,,,,,,,
scaffold_59245_719,8.9,,,0,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_81081_492,8.9,,,0,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_9160_2298,9.43,,5.4,,,,8.98,1,14,g12179.t1,XP_004243772 PREDICTED: putative ribonuclease H protein At1g65750-like [Solanum lycopersicum].,0,,,,,,,,,,,,,,,,,
scaffold_9160_2381,9.43,,5.4,,,,8.98,1,14,g12179.t1,XP_004243772 PREDICTED: putative ribonuclease H protein At1g65750-like [Solanum lycopersicum].,0,,,,,,,,,,,,,,,,,
scaffold_1100_4209,9.43,,,,,,8.98,1,14,g2377.t1,XP_002276078 PREDICTED: abhydrolase domain-containing protein FAM108C1-like [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_1100_4227,9.43,,,,,,8.98,1,14,g2377.t1,XP_002276078 PREDICTED: abhydrolase domain-containing protein FAM108C1-like [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_1106_7349,9.43,,,,,,8.98,1,14,g2386.t1,NP_001063022 Os09g0371700 [Oryza sativa Japonica Group].,0,,,,,,,,,,,,,,,,,
scaffold_3673_1458,9.43,,,,,,8.98,1,14,g6229.t1,XP_002276932 PREDICTED: uncharacterized protein LOC100266131 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_3766_574,9.43,,,,,,8.98,1,14,g6348.t1,"XP_002269121 PREDICTED: pentatricopeptide repeat-containing protein At4g19220, mitochondrial [Vitis vinifera].",0,,,,,,,,,,,,,,,,,
scaffold_3766_604,9.43,,,,,,8.98,1,14,g6348.t1,"XP_002269121 PREDICTED: pentatricopeptide repeat-containing protein At4g19220, mitochondrial [Vitis vinifera].",0,,,,,,,,,,,,,,,,,
scaffold_4368_8707,9.43,,,,,,8.98,1,14,g7109.t1,XP_002278429 PREDICTED: protein phosphatase 2C 29-like [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_76507_369,9.43,,,,,,8.98,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_76507_384,9.43,,,,,,8.98,1,15,,,,,,,,,,,,,,,,,,,,
vm51985,9.43,,,,,,8.98,1,,,,,,,,,,,,,,,,,,,,,
scaffold_26476_4152,9.43,,5.4,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_134917_143,9.72,8.25,,,,,,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_15733_1219,9.72,8.25,,,,,10.47,1,15,g17674.t1,XP_002279304 PREDICTED: regulator of nonsense transcripts 1 homolog isoform X2 [Vitis vinifera]., regulator of nonsense transcripts 1 [EC:3.6.4.-],,,,,,,,,,,,,,,,,
scaffold_35889_2207,9.72,8.25,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_32919_317,10.57,,6.54,,,,,1,15,g27347.t1,XP_002278594 PREDICTED: aluminum-activated malate transporter 12 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_134917_129,10.57,10.83,6.54,,,,8.98,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_9050_2056,11.12,,,,,9.01,,1,14,g12075.t1,XP_004300204 PREDICTED: inactive poly [ADP-ribose] polymerase RCD1-like [Fragaria vesca subsp. vesca].,0,,,,,,,,,,,,,,,,,
scaffold_9050_2066,11.12,,,,,9.01,,1,14,g12075.t1,XP_004300204 PREDICTED: inactive poly [ADP-ribose] polymerase RCD1-like [Fragaria vesca subsp. vesca].,0,,,,,,,,,,,,,,,,,
scaffold_96465_597,11.23,10.83,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_96465_621,11.23,10.83,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_71113_927,12.56,,8.53,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_71113_855,12.56,,8.53,,,,,1,15,,,,,,,,,,,,,,,,,,,,
vm55441,12.85,12.51,,,,,,1,,,,,,,,,,,,,,,,,,,,,
scaffold_324_4853,14.11,,,,,12,10.47,1,13,g903.t1,,0,,,,,,,,,,,,,,,,,
scaffold_40197_1814,14.11,,,,,,10.47,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_65439_1077,14.11,,,,,,10.47,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_40197_1830,14.11,,,,,,10.47,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_40197_1833,14.11,,,,,,10.47,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_31163_2598,14.48,14.22,,,,12,10.47,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_38320_1959,14.48,,,,,12,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_128374_188,14.48,,,,,12,,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_16410_888,15.69,14.22,11.66,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_1276_909,15.69,15.35,11.66,,,12,11.97,1,14,g2687.t1,,0,,,,,,,,,,,,,,,,,
scaffold_38320_1958,15.69,,11.66,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_25619_774,15.97,,11.94,,,,,1,15,g23927.t1,XP_004305434 PREDICTED: protein FAR1-RELATED SEQUENCE 5-like [Fragaria vesca subsp. vesca].,0,,,,,,,,,,,,,,,,,
scaffold_25619_855,15.97,,11.94,,,13.49,,1,15,g23927.t1,XP_004305434 PREDICTED: protein FAR1-RELATED SEQUENCE 5-like [Fragaria vesca subsp. vesca].,0,,,,,,,,,,,,,,,,,
scaffold_5_30366,15.97,,11.94,,,,,1,11,g62.t1,XP_003631787 PREDICTED: uncharacterized protein LOC100853519 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_93161_158,15.97,,,,,13.49,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_5_2181,15.97,,,,,13.49,,1,11,g62.t1,XP_003631787 PREDICTED: uncharacterized protein LOC100853519 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_5_24523,15.97,,,,,13.49,,1,11,g62.t1,XP_003631787 PREDICTED: uncharacterized protein LOC100853519 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_5_30383,15.97,,,,,13.49,,1,11,g62.t1,XP_003631787 PREDICTED: uncharacterized protein LOC100853519 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_5_24496,16.14,17.91,11.94,,,,11.97,1,11,g62.t1,XP_003631787 PREDICTED: uncharacterized protein LOC100853519 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_25619_730,16.14,17.91,11.94,,,,11.97,1,15,g23927.t1,XP_004305434 PREDICTED: protein FAR1-RELATED SEQUENCE 5-like [Fragaria vesca subsp. vesca].,0,,,,,,,,,,,,,,,,,
scaffold_81281_87,16.14,,,,,,11.97,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_2223_1295,16.44,17.91,12.24,,,,,1,14,g4194.t1,"XP_002518085 acid phosphatase, putative [Ricinus communis].",0,,,,,,,,,,,,,,,,,
scaffold_152086_169,16.89,18.15,,,,,11.97,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_39501_2089,16.89,18.15,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_144559_357,18.24,,14.21,,,13.49,,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_144559_324,18.41,18.15,,,0,,13.46,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_35569_2846,18.41,,14.21,,0,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_144559_382,18.41,,14.21,,0,,,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_35569_2857,18.41,,14.21,,0,,,1,15,,,,,,,,,,,,,,,,,,,,
SCF3551,18.41,,,0,0,13.49,13.46,1,,,,,,,,,,,,,,,,,,,,,
scaffold_22637_3389,18.41,,,,,,13.46,1,15,g22257.t1,XP_004301530 PREDICTED: purple acid phosphatase 23 isoform X2 [Fragaria vesca subsp. vesca].,0,,,,,,,,,,,,,,,,,
scaffold_39501_2101,18.41,,,,,,13.46,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_42029_822,19.24,,,0,0,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_32098_1940,19.38,,15.35,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_42029_793,20.58,21.84,,,,21,16.44,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_7200_6757,20.58,21.84,16.55,,,,,1,14,g10286.t1,"XP_004247828 PREDICTED: 3-ketoacyl-CoA thiolase 2, peroxisomal [Solanum lycopersicum].", acetyl-CoA acyltransferase 1 [EC:2.3.1.16],,,,,,,,,,,,,,,,,
scaffold_42029_741,20.58,21.84,,,,21,14.95,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_7200_6795,20.58,21.84,16.55,,,,,1,14,g10286.t1,"XP_004247828 PREDICTED: 3-ketoacyl-CoA thiolase 2, peroxisomal [Solanum lycopersicum].", acetyl-CoA acyltransferase 1 [EC:2.3.1.16],,,,,,,,,,,,,,,,,
scaffold_7200_6806,20.58,21.84,16.55,,,,,1,14,g10286.t1,"XP_004247828 PREDICTED: 3-ketoacyl-CoA thiolase 2, peroxisomal [Solanum lycopersicum].", acetyl-CoA acyltransferase 1 [EC:2.3.1.16],,,,,,,,,,,,,,,,,
scaffold_1443_11261,20.58,,16.55,,0,,,1,14,g2956.t1,XP_004247844 PREDICTED: F-box/kelch-repeat protein At3g23880-like [Solanum lycopersicum].,0,,,,,,,,,,,,,,,,,
scaffold_93161_251,20.58,,,,0,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_35238_2084,20.58,,,,0,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_93161_127,20.58,,,,0,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_35238_2100,20.58,,,,0,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_426_4354,21.65,,17.62,0,0,25.49,,1,13,g1125.t1,XP_002299279 predicted protein [Populus trichocarpa]., ubiquinone biosynthesis monooxygenase Coq6 [EC:1.14.13.-],,,,,,,,,,,,,,,,,
scaffold_22637_3414,21.92,,17.62,,,25.49,,1,15,g22257.t1,XP_004301530 PREDICTED: purple acid phosphatase 23 isoform X2 [Fragaria vesca subsp. vesca].,0,,,,,,,,,,,,,,,,,
scaffold_40397_985,22.22,,18.19,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_205740_92,22.22,,18.19,2.98,,25.49,,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_131775_75,22.49,,18.19,,2.98,,,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_55219_1486,22.62,26.69,,2.98,2.98,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_15858_3067,22.62,26.69,,,2.98,,13.46,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_3612_3319,22.62,26.69,,2.98,2.98,25.49,,1,14,g6138.t1,"XP_002285592 PREDICTED: 7-hydroxymethyl chlorophyll a reductase, chloroplastic [Vitis vinifera].", 7-hydroxymethyl chlorophyll a reductase [EC:1.17.7.2],,,,,,,,,,,,,,,,,
scaffold_3612_3955,22.62,,,,2.98,,,1,14,g6138.t1,"XP_002285592 PREDICTED: 7-hydroxymethyl chlorophyll a reductase, chloroplastic [Vitis vinifera].", 7-hydroxymethyl chlorophyll a reductase [EC:1.17.7.2],,,,,,,,,,,,,,,,,
scaffold_31849_429,23.21,,18.19,6.55,3.57,25.49,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_33009_2143,23.21,,,,3.57,,17.94,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_143114_330,23.21,,,,3.57,,,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_5536_5875,23.88,,,,,25.49,17.94,1,14,,,,,,,,,,,,,,,,,,,,
scaffold_5536_5876,23.88,,,,,25.49,17.94,1,14,,,,,,,,,,,,,,,,,,,,
scaffold_24552_1898,24.28,26.69,22.17,6.55,4.77,25.49,17.94,1,15,g23366.t1,XP_002281205 PREDICTED: uncharacterized protein LOC100264495 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_10162_13,24.28,27.34,,,,,17.94,1,15,g13158.t1,,0,,,,,,,,,,,,,,,,,
scaffold_10162_15,24.28,27.34,,,,,17.94,1,15,g13158.t1,,0,,,,,,,,,,,,,,,,,
scaffold_11023_1074,24.28,27.34,,,,,,1,15,g13953.t1,XP_003597349 hypothetical protein MTR_2g096640 [Medicago truncatula].,0,,,,,,,,,,,,,,,,,
scaffold_23397_359,24.28,27.34,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_16654_4278,24.28,,,,,,17.94,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_22318_2907,24.28,,,,,,17.94,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_62395_1781,24.41,27.47,22.17,6.55,4.77,25.49,17.94,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_62395_1380,25.01,,23.41,6.55,4.77,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_58422_187,25.01,,,7.15,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_115288_495,25.01,,,7.15,,,,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_32358_2578,25.21,27.66,23.55,,4.77,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_58422_200,25.21,,23.41,7.15,,28.48,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_64688_441,25.21,,23.41,,4.77,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_64688_510,25.21,,23.41,,4.77,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_8782_6448,25.38,29.64,23.72,,,,17.94,1,14,,,,,,,,,,,,,,,,,,,,
scaffold_44732_1519,25.38,32.48,,,4.77,,17.94,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_7231_3539,25.38,32.48,,,8.28,,17.94,1,14,g10308.t1,"XP_002437089 hypothetical protein SORBIDRAFT_10g021032, partial [Sorghum bicolor].",0,,,,,,,,,,,,,,,,,
scaffold_31190_1690,25.38,,,7.15,,25.49,19.43,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_6810_4490,25.38,,,7.74,,26.99,19.43,1,14,g9891.t1,,0,,,,,,,,,,,,,,,,,
scaffold_6810_4577,25.38,,,7.74,,28.48,19.43,1,14,g9891.t1,,0,,,,,,,,,,,,,,,,,
scaffold_6810_4638,25.38,,,7.74,,28.48,19.43,1,14,g9891.t1,,0,,,,,,,,,,,,,,,,,
scaffold_9033_5327,25.38,,,7.74,,26.99,19.43,1,14,g12058.t1,,0,,,,,,,,,,,,,,,,,
scaffold_55875_1442,25.47,,,7.74,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_6810_4781,25.47,,,7.74,,,,1,14,g9891.t1,,0,,,,,,,,,,,,,,,,,
scaffold_9033_5259,25.47,,,7.74,,,,1,14,g12058.t1,,0,,,,,,,,,,,,,,,,,
scaffold_6810_7280,25.47,,,7.74,,,,1,14,g9891.t1,,0,,,,,,,,,,,,,,,,,
scaffold_45513_1234,28.78,,27.12,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_35977_2889,29.04,,,,8.28,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_35977_2922,29.04,,,,8.28,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_36886_1616,29.42,32.48,,,,,,1,15,g28894.t1,XP_002268984 PREDICTED: uncharacterized protein LOC100244691 [Vitis vinifera].,0,,,,,,,,,,,,,,,,,
scaffold_32358_2565,29.42,32.48,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_6810_4631,29.42,32.48,,,,,,1,14,g9891.t1,,0,,,,,,,,,,,,,,,,,
scaffold_64996_1622,29.7,32.48,27.69,,8.94,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_45085_2098,29.7,32.48,27.69,,8.94,,,1,15,g31616.t1,,0,,,,,,,,,,,,,,,,,
scaffold_62603_693,29.7,32.76,28.83,,8.94,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_3679_2742,29.7,32.76,,,,,,1,14,,,,,,,,,,,,,,,,,,,,
scaffold_9288_534,29.7,32.76,,,8.94,,25.43,1,14,g12308.t1,,0,,,,,,,,,,,,,,,,,
scaffold_95913_1153,29.7,32.76,,,,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_7031_3957,29.7,33.05,28.83,12.52,10.13,32.97,28.42,1,14,,,,,,,,,,,,,,,,,,,,
scaffold_94985_861,29.7,33.05,,,8.94,,25.43,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_16222_2345,29.7,33.05,28.83,12.52,10.13,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_16222_2363,29.7,33.05,28.83,12.52,10.13,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_23101_1174,29.7,33.05,28.83,12.52,10.13,32.97,28.42,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_23101_1209,29.7,33.05,28.83,12.52,10.13,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_62258_1328,29.7,33.05,28.83,12.52,10.13,32.97,28.42,1,15,g35604.t1,,0,,,,,,,,,,,,,,,,,
scaffold_7031_3963,29.7,33.05,28.83,12.52,10.13,32.97,28.42,1,14,,,,,,,,,,,,,,,,,,,,
scaffold_7031_3989,29.7,33.05,28.83,12.52,10.13,32.97,28.42,1,14,,,,,,,,,,,,,,,,,,,,
scaffold_97035_859,29.7,33.05,28.83,,8.94,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_69346_606,29.7,33.33,,,8.94,,25.43,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_71372_378,29.7,33.33,,,10.13,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_71372_415,29.7,33.33,,,10.13,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_97035_932,29.7,33.33,,12.52,8.94,32.97,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_37334_3131,29.7,,27.12,12.52,8.94,32.97,25.43,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_1696_10596,29.7,,27.12,12.52,8.94,,,1,14,g3375.t1,XP_004242231 PREDICTED: beta-amyrin 28-oxidase-like [Solanum lycopersicum].,0,,,,,,,,,,,,,,,,,
scaffold_37334_1854,29.7,,27.12,12.52,9.53,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_37334_1887,29.7,,27.12,12.52,9.53,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_37334_1895,29.7,,27.12,12.52,9.53,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_51715_1701,29.7,,29.4,,8.94,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_11116_768,29.7,,,12.52,,,,1,15,g14024.t1,,0,,,,,,,,,,,,,,,,,
scaffold_73900_869,29.7,,,,8.94,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_170652_201,29.7,,,,8.94,,,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_105430_240,29.7,,,,8.94,,25.43,1,16,,,,,,,,,,,,,,,,,,,,
scaffold_20281_1485,29.7,,,,8.94,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_16334_642,29.7,,,,,,25.43,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_6110_904,29.98,33.33,28.83,,10.72,,,1,14,g9094.t1,XP_004300884 PREDICTED: uncharacterized protein LOC101315056 [Fragaria vesca subsp. vesca].,0,,,,,,,,,,,,,,,,,
scaffold_15113_398,29.98,33.33,28.83,,,,,1,15,g17188.t1,,0,,,,,,,,,,,,,,,,,
scaffold_7154_809,29.98,33.33,28.83,13.11,10.72,,,1,14,,,,,,,,,,,,,,,,,,,,
scaffold_52303_1856,29.98,33.33,29.11,,10.72,,,1,15,,,,,,,,,,,,,,,,,,,,
scaffold_15113_423,29.98,33.33,28.83,13.11,10.72,,,1,15,g17188.t1,,0,,,,,,,,,,,,,,,,,
scaffold_13815_1292,29.98,,28.83,12.52,,32.97,,1,15,g16233.t1,XP_002281051 PREDICTED: uncharacterized protein LOC100256073 [Vitis vinifera]., serine/arginine repetitive matrix protein 2,,,,,,,,,,,,,,,,,
