id,trait,model,chr,position,mean_marker_variance,population,method,study,interval_left,interval_right,count,model_count,study_count,trait_count,method_count,population_count
72+70+270+273,UKEC,all-years+2011,9,80.4650715,15.37718657954285,cnj02,scanone+stepwiseqtl,self,80.040071,80.890072,4,2,1,1,2,1
280+82+279,UKLvW,2012+2011,8,51.945052000000004,15.365855583209699,cnj02,scanone+stepwiseqtl,self,50.160048,53.730056,3,2,1,1,2,1
418+195,TY,2012,12,56.095039,15.35680264976725,cnj02,scanone+stepwiseqtl,self,54.960038,57.23004,2,1,1,1,2,1
433+198,ULvW,2012+2013,11,28.500031,15.3505452343659,cnj02,scanone+stepwiseqtl,self,26.680028,30.320034,2,2,1,1,2,1
39,UCD,2012,4,51.635057,15.3058553081052,cnj02,scanone,self,46.850055,56.420059,1,1,1,1,1,1
65+265+63,UKEC,all-years+2011,3,30.705028,15.286823819246502,cnj02,scanone+stepwiseqtl,self,28.640026,32.77003,3,2,1,1,2,1
275+75+76,UKEC,all-years+2013,11,19.56502,15.284217171515166,cnj02,scanone+stepwiseqtl,self,17.250019,21.880021,3,2,1,1,2,1
333+135,UNAB,2013,9,87.175078,15.27447118776185,cnj02,scanone+stepwiseqtl,self,87.010077,87.340079,2,1,1,1,2,1
80+277+78+79,UKLvW,all-years+2012+2011,3,30.705028,15.235037923236,cnj02,scanone+stepwiseqtl,self,28.640026,32.77003,4,3,1,1,2,1
240,UBW,2013,4,30.825034,15.2217589301138,cnj02,stepwiseqtl,self,29.330033,32.320035,1,1,1,1,1,1
428,ULvW,2011,10,67.550068,15.173422066543,cnj02,stepwiseqtl,self,65.460067,69.640069,1,1,1,1,1,1
92,UKTO,2013,3,34.480033,15.1489317077715,cnj02,scanone,self,32.77003,36.190036,1,1,1,1,1,1
58,UCLS,2012,5,34.6200205,15.06683764736,cnj02,scanone,self,31.090019,38.150022,1,1,1,1,1,1
105+309,UKUX,2013,11,37.950044000000005,15.065458201513199,cnj02,scanone+stepwiseqtl,self,37.210042,38.690046,2,1,1,1,2,1
128+130+127+327,MFM,all-years+2012+2011,11,29.350033500000002,15.046993680753076,cnj02,scanone+stepwiseqtl,self,28.380033,30.320034,4,3,1,1,2,1
296,UKTO,2011,9,6.3850055,14.9793738634767,cnj02,stepwiseqtl,self,1.130001,11.64001,1,1,1,1,1,1
161+373+375,PFR,2013+2011,11,34.2200385,14.937170567100933,cnj02,scanone+stepwiseqtl,self,31.230035,37.210042,3,2,1,1,2,1
211+4,BBISFY,all-years,11,29.805034,14.859591192570651,cnj02,scanone+stepwiseqtl,self,28.380033,31.230035,2,1,1,1,2,1
121+122+323+124,MFM,all-years+2012+2011,3,42.9550475,14.85700559213655,cnj02,scanone+stepwiseqtl,self,42.860047,43.050048,4,3,1,1,2,1
165+166+167+381+382+383,URB,2011,1,30.690018000000002,14.792628569540001,cnj02,scanone+stepwiseqtl,self,29.700016,31.68002,6,1,1,1,2,1
212+5,BBISFY,2012,12,56.2750395,14.7686972950684,cnj02,scanone+stepwiseqtl,self,54.960038,57.590041,2,1,1,1,2,1
137+342,UNAF,all-years+2011,11,39.8700475,14.6169051561501,cnj02,scanone+stepwiseqtl,self,38.070045,41.67005,2,2,1,1,2,1
358,UNS,all-years,10,19.770016499999997,14.5869834633717,cnj02,stepwiseqtl,self,18.530015,21.010018,1,1,1,1,1,1
387+388+389+168+169+170,URB,2011,11,47.3500545,14.56226115497085,cnj02,scanone+stepwiseqtl,self,44.640053,50.060056,6,1,1,1,2,1
281+83,UKLvW,all-years,8,56.7400595,14.4641217383143,cnj02,scanone+stepwiseqtl,self,54.640058,58.840061,2,1,1,1,2,1
3,BBISFY,2012,11,19.56502,14.463676896347,cnj02,scanone,self,17.250019,21.880021,1,1,1,1,1,1
258+259+54+55,UCLS,2012+2011,3,36.3400365,14.448000036887699,cnj02,scanone+stepwiseqtl,self,36.190036,36.490037,4,2,1,1,2,1
426,ULvW,2013,5,31.1100185,14.4478243103499,cnj02,stepwiseqtl,self,26.360017,35.86002,1,1,1,1,1,1
368,PFR,2011,4,62.375063,14.4340988386572,cnj02,stepwiseqtl,self,59.880062,64.870064,1,1,1,1,1,1
298,UKTO,2011,11,57.465068,14.3547159878222,cnj02,stepwiseqtl,self,56.580066,58.35007,1,1,1,1,1,1
356+150+151,UNS,2012+2011,7,46.7750565,14.3412970728235,cnj02,scanone+stepwiseqtl,self,46.010056,47.540057,3,2,1,1,2,1
246,UBW,2013,12,57.12504,14.3248299224486,cnj02,stepwiseqtl,self,56.660039,57.590041,1,1,1,1,1,1
112+111,UKUY,all-years+2011,11,14.420016,14.24730059695675,cnj02,scanone,self,8.660012,20.18002,2,2,1,1,1,1
257+53,UCLS,2013,2,46.355044,14.23653919414245,cnj02,scanone+stepwiseqtl,self,43.420042,49.290046,2,1,1,1,2,1
140,UNB,2011,5,66.7300545,14.2361835072794,cnj02,scanone,self,61.250051,72.210058,1,1,1,1,1,1
264+61,UCLS,2011,11,34.3650395,14.22461970135615,cnj02,scanone+stepwiseqtl,self,31.230035,37.500044,2,1,1,1,2,1
90+292,UKSO,2012,12,56.2750395,14.117853586586751,cnj02,scanone+stepwiseqtl,self,54.960038,57.590041,2,1,1,1,2,1
256,UCLP,2012,11,39.440046,14.0609104114651,cnj02,stepwiseqtl,self,37.210042,41.67005,1,1,1,1,1,1
413,UTBM,all-years,6,30.060035,13.999113575271,cnj02,stepwiseqtl,self,28.210033,31.910037,1,1,1,1,1,1
354,UNS,2011,6,76.8550985,13.9782329337855,cnj02,stepwiseqtl,self,74.470097,79.2401,1,1,1,1,1,1
304,UKUX,2011,8,51.2850505,13.9260484146241,cnj02,stepwiseqtl,self,50.160048,52.410053,1,1,1,1,1,1
200+437+438,UMFM,all-years+2011,10,36.9300375,13.899716889113032,cnj02,scanone+stepwiseqtl,self,36.610037,37.250038,3,2,1,1,2,1
214,BBITY,2012,11,11.810013999999999,13.850441667815,cnj02,stepwiseqtl,self,9.570013,14.050015,1,1,1,1,1,1
176+395,SFY,all-years,11,23.7350245,13.812141481025751,cnj02,scanone+stepwiseqtl,self,20.18002,27.290029,2,1,1,1,2,1
74,UKEC,2012,11,42.1300485,13.803700326716,cnj02,scanone,self,37.360043,46.900054,1,1,1,1,1,1
37,UCD,2013,2,61.780070499999994,13.7715144792444,cnj02,scanone,self,56.25006,67.310081,1,1,1,1,1,1
47,UCLP,all-years,5,23.930013,13.7687071228222,cnj02,scanone,self,22.38001,25.480016,1,1,1,1,1,1
321+322,MFM,2012+2013,3,29.155026499999998,13.722191037974849,cnj02,stepwiseqtl,self,28.640026,29.670027,2,2,1,1,1,1
152+357,UNS,2012+2011,10,31.4650265,13.7203978166275,cnj02,scanone+stepwiseqtl,self,28.970023,33.96003,2,2,1,1,2,1
376,PFR,all-years,11,17.1150175,13.6674755696405,cnj02,stepwiseqtl,self,14.050015,20.18002,1,1,1,1,1,1
425,ULvW,2013,4,72.5400695,13.6196530324293,cnj02,stepwiseqtl,self,69.820068,75.260071,1,1,1,1,1,1
266+66,UKEC,2012,5,59.0900485,13.6183148369261,cnj02,scanone+stepwiseqtl,self,57.210047,60.97005,2,1,1,1,2,1
272+271+71,UKEC,2013,9,85.1050755,13.614006943765068,cnj02,scanone+stepwiseqtl,self,84.810075,85.400076,3,1,1,1,2,1
17,UBL,2012,2,74.7500855,13.5902151555558,cnj02,scanone,self,67.310081,82.19009,1,1,1,1,1,1
410+411+188,UTBM,all-years+2012,1,31.1250195,13.490820937508667,cnj02,scanone+stepwiseqtl,self,30.570019,31.68002,3,2,1,1,2,1
84+85+86,UKLvW,all-years+2013+2011,9,82.7300735,13.450942960133068,cnj02,scanone,self,81.240073,84.220074,3,3,1,1,1,1
234+235,UBM,all-years+2013,10,47.875051,13.43071274714725,cnj02,stepwiseqtl,self,45.750048,50.000054,2,2,1,1,1,1
27+28,UBM,2013+2011,10,29.760024,13.41716458848925,cnj02,scanone,self,28.270022,31.250026,2,2,1,1,1,1
173,SFY,all-years,8,15.685014500000001,13.4105059713301,cnj02,scanone,self,10.910009,20.46002,1,1,1,1,1,1
405,TA,2011,12,71.7600545,13.3990221030906,cnj02,stepwiseqtl,self,67.750051,75.770058,1,1,1,1,1,1
283,UKLvW,2013,9,88.31508099999999,13.3976562721021,cnj02,stepwiseqtl,self,87.340079,89.290083,1,1,1,1,1,1
158,PAC,2012,11,47.3350555,13.394894715488,cnj02,scanone,self,41.67005,53.000061,1,1,1,1,1,1
404,TA,2012,7,12.105015,13.3593204169732,cnj02,stepwiseqtl,self,9.900012,14.310018,1,1,1,1,1,1
430+431,ULvW,all-years+2013,10,61.9550625,13.280354280707,cnj02,stepwiseqtl,self,61.460062,62.450063,2,2,1,1,1,1
288+287+87,UKSO,all-years+2011,1,77.83506700000001,13.252334850086333,cnj02,scanone+stepwiseqtl,self,74.280063,81.390071,3,2,1,1,2,1
422+423,ULvW,all-years+2013,2,78.810089,13.230738260388549,cnj02,stepwiseqtl,self,75.430088,82.19009,2,2,1,1,1,1
7,BBITY,2012,10,39.9300395,13.2213234076291,cnj02,scanone,self,34.870032,44.990047,1,1,1,1,1,1
25+229,UBBL,all-years,7,63.7700825,13.21875065930675,cnj02,scanone+stepwiseqtl,self,59.000078,68.540087,2,1,1,1,2,1
219+12,BBITBM,all-years,2,57.4150635,13.20824066505825,cnj02,scanone+stepwiseqtl,self,56.670061,58.160066,2,1,1,1,2,1
97,UKTO,2012,12,54.0300375,13.1729005615407,cnj02,scanone,self,50.470034,57.590041,1,1,1,1,1,1
328,UNAB,2013,1,43.5500365,13.0047893248836,cnj02,stepwiseqtl,self,41.320035,45.780038,1,1,1,1,1,1
360+154,UNS,2013,12,57.12504,12.997882436137601,cnj02,scanone+stepwiseqtl,self,56.660039,57.590041,2,1,1,1,2,1
400+401+180+181,TA,all-years+2013,2,50.935050000000004,12.995196090517224,cnj02,scanone+stepwiseqtl,self,49.390047,52.480053,4,2,1,1,2,1
254,UCLP,all-years,6,76.2600975,12.9797772251233,cnj02,stepwiseqtl,self,73.280095,79.2401,1,1,1,1,1,1
366,PAC,2013,11,55.985065500000005,12.9229525462685,cnj02,stepwiseqtl,self,54.780064,57.190067,1,1,1,1,1,1
225+20+21+22+223,UBL,all-years+2012+2013,10,52.980056000000005,12.8599306415993,cnj02,scanone+stepwiseqtl,self,51.790055,54.170057,5,3,1,1,2,1
59+262,UCLS,2012,6,77.9600995,12.7283637700241,cnj02,scanone+stepwiseqtl,self,76.680099,79.2401,2,1,1,1,2,1
67+68+268,UKEC,2012+2011,8,51.815051,12.724153419164834,cnj02,scanone+stepwiseqtl,self,51.220049,52.410053,3,2,1,1,2,1
293,UKTO,2011,2,37.575033000000005,12.6652625970208,cnj02,stepwiseqtl,self,36.020031,39.130035,1,1,1,1,1,1
146,UNP,2012,3,55.8000545,12.6616161197207,cnj02,scanone,self,50.640052,60.960057,1,1,1,1,1,1
114+315,UDM,2011,3,34.3500325,12.65479202958805,cnj02,scanone+stepwiseqtl,self,33.360031,35.340034,2,1,1,1,2,1
95,UKTO,all-years,9,64.8350575,12.5906533395569,cnj02,scanone,self,59.170052,70.500063,1,1,1,1,1,1
93+294+295,UKTO,2012+2011,4,28.415031499999998,12.577070323253599,cnj02,scanone+stepwiseqtl,self,28.130031,28.700032,3,2,1,1,2,1
242,UBW,2013,9,58.13505,12.5588647805761,cnj02,stepwiseqtl,self,57.180049,59.090051,1,1,1,1,1,1
261+263,UCLS,all-years+2011,6,6.8100115,12.52322551455995,cnj02,stepwiseqtl,self,5.770011,7.850012,2,2,1,1,1,1
348,UNP,2013,9,88.31508099999999,12.5081862152775,cnj02,stepwiseqtl,self,87.340079,89.290083,1,1,1,1,1,1
73+274,UKEC,2011,11,29.350033500000002,12.50368872681145,cnj02,scanone+stepwiseqtl,self,28.380033,30.320034,2,1,1,1,2,1
118+319,UDM,2012+2013,12,47.8650305,12.466432608412699,cnj02,scanone+stepwiseqtl,self,46.97003,48.760031,2,2,1,1,2,1
204,UL,2012,4,31.9550365,12.44745668944,cnj02,scanone,self,27.060029,36.850044,1,1,1,1,1,1
347,UNP,2012,7,23.165033,12.4469664315848,cnj02,stepwiseqtl,self,17.770026,28.56004,1,1,1,1,1,1
42,UCD,all-years,5,53.245041,12.4461232820923,cnj02,scanone,self,50.350037,56.140045,1,1,1,1,1,1
253,UCLP,2012,3,30.705028,12.4441552078487,cnj02,stepwiseqtl,self,28.640026,32.77003,1,1,1,1,1,1
249+36,Brix,2013,9,83.3200745,12.437532152459351,cnj02,scanone+stepwiseqtl,self,81.240073,85.400076,2,1,1,1,2,1
16+15,BBITBM,all-years+2012,12,53.850037,12.429743605087051,cnj02,scanone,self,50.470034,57.23004,2,2,1,1,1,1
393+172,SFY,2013,7,38.715047999999996,12.4224433729899,cnj02,scanone+stepwiseqtl,self,35.700047,41.730049,2,1,1,1,2,1
57,UCLS,2013,4,30.925035,12.4063873414867,cnj02,scanone,self,26.790028,35.060042,1,1,1,1,1,1
227+23,UBBL,2011,5,47.715033500000004,12.4016933532255,cnj02,scanone+stepwiseqtl,self,47.120032,48.310035,2,1,1,1,2,1
89+291,UKSO,2011,11,45.7700535,12.3736336678869,cnj02,scanone+stepwiseqtl,self,44.640053,46.900054,2,1,1,1,2,1
233,UBM,2011,10,34.760033,12.328790916696,cnj02,stepwiseqtl,self,32.910029,36.610037,1,1,1,1,1,1
81+278,UKLvW,2012,5,65.395055,12.32185833103995,cnj02,scanone+stepwiseqtl,self,63.170054,67.620056,2,1,1,1,2,1
362,PAC,2013,1,103.03509199999999,12.3206038491936,cnj02,stepwiseqtl,self,100.35009,105.720094,1,1,1,1,1,1
441+442,UL,all-years+2013,1,32.275020999999995,12.2410462414391,cnj02,stepwiseqtl,self,31.68002,32.870022,2,2,1,1,1,1
414,UTBM,all-years,10,42.390045,12.2376547513905,cnj02,stepwiseqtl,self,39.030042,45.750048,1,1,1,1,1,1
145+346,UNP,all-years,1,58.490048,12.1056932675085,cnj02,scanone+stepwiseqtl,self,56.220046,60.76005,2,1,1,1,2,1
193,TY,2013,7,38.610048000000006,12.0887793047859,cnj02,scanone,self,32.420042,44.800054,1,1,1,1,1,1
171+390,USL,2013,10,18.225015,12.0433040566909,cnj02,scanone+stepwiseqtl,self,16.730014,19.720016,2,1,1,1,2,1
116+318,UDM,2011,7,53.850069500000004,12.03008949724805,cnj02,scanone+stepwiseqtl,self,52.200066,55.500073,2,1,1,1,2,1
402+182,TA,2013,3,31.810029999999998,12.0194243692203,cnj02,scanone+stepwiseqtl,self,30.260029,33.360031,2,1,1,1,2,1
144+345,UN0,2013,12,54.3650365,11.9981839562127,cnj02,scanone+stepwiseqtl,self,53.770035,54.960038,2,1,1,1,2,1
91,UKTO,2013,2,87.925099,11.9438888395159,cnj02,scanone,self,84.190092,91.660106,1,1,1,1,1,1
209,BBISFY,all-years,3,4.095003,11.8936349019293,cnj02,stepwiseqtl,self,1.16,7.030006,1,1,1,1,1,1
336,UNAF,2011,3,41.065045,11.8852647347215,cnj02,stepwiseqtl,self,39.270043,42.860047,1,1,1,1,1,1
107+108,UKUY,all-years+2011,3,31.0000285,11.8788766264822,cnj02,scanone,self,28.640026,33.360031,2,2,1,1,1,1
18+222,UBL,2013,8,21.3100215,11.85207366315665,cnj02,scanone+stepwiseqtl,self,17.460018,25.160025,2,1,1,1,2,1
115+317,UDM,2012,5,46.7450325,11.83649287323,cnj02,scanone+stepwiseqtl,self,45.18003,48.310035,2,1,1,1,2,1
420+421,ULvW,2012+2011,2,72.62008399999999,11.794133616173749,cnj02,stepwiseqtl,self,70.540083,74.700085,2,2,1,1,1,1
371+372,PFR,all-years+2013,7,39.995048499999996,11.7329309817755,cnj02,stepwiseqtl,self,38.260048,41.730049,2,2,1,1,1,1
35+247,Brix,2013,3,34.7750335,11.727697965476551,cnj02,scanone+stepwiseqtl,self,33.360031,36.190036,2,1,1,1,2,1
282,UKLvW,2011,9,85.65507600000001,11.7116027969758,cnj02,stepwiseqtl,self,84.220074,87.090078,1,1,1,1,1,1
427,ULvW,2012,8,7.895006,11.6848165980851,cnj02,stepwiseqtl,self,5.310004,10.480008,1,1,1,1,1,1
96,UKTO,2011,11,19.56502,11.6740980533285,cnj02,scanone,self,17.250019,21.880021,1,1,1,1,1,1
156,PAC,2012,2,43.9900405,11.6525623597101,cnj02,scanone,self,39.720036,48.260045,1,1,1,1,1,1
215,BBITY,2012,11,43.1550515,11.6368686548204,cnj02,stepwiseqtl,self,41.67005,44.640053,1,1,1,1,1,1
139,UNB,all-years,1,27.7400145,11.4440024527391,cnj02,scanone,self,23.210008,32.270021,1,1,1,1,1,1
51,UCLP,2013,11,64.09007700000001,11.4099182228618,cnj02,scanone,self,58.35007,69.830084,1,1,1,1,1,1
251,UCD,2012,1,27.725015499999998,11.3948478382518,cnj02,stepwiseqtl,self,25.470014,29.980017,1,1,1,1,1,1
119,UDM,2013,12,62.4150455,11.3709865846983,cnj02,scanone,self,57.590041,67.24005,1,1,1,1,1,1
136+334,UNAB,2011,12,52.715036,11.341247292374,cnj02,scanone+stepwiseqtl,self,50.470034,54.960038,2,1,1,1,2,1
113+313,UDM,2012,1,32.870022,11.3263750247519,cnj02,scanone+stepwiseqtl,self,32.270021,33.470023,2,1,1,1,2,1
32+239,UBW,all-years,1,100.25009,11.2698260312689,cnj02,scanone+stepwiseqtl,self,97.960089,102.540091,2,1,1,1,2,1
307,UKUX,2012,10,31.115026,11.2530595694266,cnj02,stepwiseqtl,self,28.270022,33.96003,1,1,1,1,1,1
0,BBISFY,all-years,2,44.12504,11.2278087382736,cnj02,scanone,self,40.850037,47.400043,1,1,1,1,1,1
