method,model,trait,chr,position,chr2,position2,nearest.marker,qtl.lod,marker.variance,qtl.pvalue,model.variance,interval.left,interval.marker.left,interval,interval.right,interval.marker.right,GLRpvalue,GxYLRpvalue,GZRpvalue,GxYZRpvalue,position.consensus
stepwiseqtl,2014,berry_length,11,11.74001,NA,NA,bin_11@11.74cM_scaffold_35099_251,24.1738972575456,31.3208737169076,2.2204460492503099e-16,92.6606940008658,9.570008,scaffold_125_21038,10.610007,20.180015,scaffold_72495_1231,0.00811,NA,0.006817923774193,NA,13.1882150512821
stepwiseqtl,all-years,berry_length,11,5.090002,NA,NA,bin_11@5.09cM_scaffold_138284_80,26.1101879803773,23.6578372411587,2.88657986402541e-15,95.2848375895894,1.19,SCF72209,5.680004,6.870004,scaffold_27949_1363,1.15453912187644e-19,0.99828,4.45061761902219e-5,0.5,5.05667071428571
stepwiseqtl,all-years,berry_skin,9,87.80006,NA,NA,bin_9@87.8cM_scaffold_70962_1187,33.8275130515582,13.2554454712745,0,98.5635103806592,87.340059,scaffold_77647_641,1.17000300000001,88.510062,scaffold_2138_6739,0.01006,NA,0.0428620738489774,NA,86.5404655
stepwiseqtl,all-years,berry_weight,9,58.280036,NA,NA,bin_9@58.28cM_scaffold_184159_239,26.2667729562047,15.7193929765299,3.46389583683049e-14,96.9071589752344,57.180035,scaffold_72724_1068,1.91000200000001,59.090037,scaffold_45130_2496,1.13436846287039e-6,NA,0.00160468009100447,NA,57.6351807631579
stepwiseqtl,all-years,berry_weight,10,35.420034,NA,NA,bin_10@35.42cM_scaffold_2979_9917,32.0871387813806,24.9732956409825,0,96.9071589752344,34.830033,scaffold_140834_192,1.190003,36.020036,scaffold_18203_3098,1.13436846287039e-6,NA,0.00160468009100447,NA,36.4144662924528
stepwiseqtl,2011,Brix,9,87.010057,NA,NA,bin_9@87.01cM_scaffold_6314_8219,32.7979048838424,27.5584267378321,0,96.7688112467625,85.400056,scaffold_1371_5874,2.400004,87.80006,scaffold_25489_77,3.2e-4,NA,0.00499086825405499,NA,86.5404655
stepwiseqtl,2011,Brix,10,58.430065,NA,NA,bin_10@58.43cM_scaffold_36213_544,20.6456877384883,10.1240456450171,3.4611868926504e-11,96.7688112467625,50.000058,SCF65999,11.460008,61.460066,SCF174394,3.2e-4,NA,0.00499086825405499,NA,57.6351807631579
stepwiseqtl,2011,Brix,11,40.34004,NA,NA,bin_11@40.34cM_scaffold_3947_9416,22.9659478567285,12.4331840595674,2.00373051484348e-12,96.7688112467625,39.200038,scaffold_75872_1296,5.440003,44.640041,scaffold_109972_115,3.2e-4,NA,0.00499086825405499,NA,40.5585541111111
stepwiseqtl,all-years,calyx_diam,2,57.45006,NA,NA,bin_2@57.45cM_SCF125667,26.012693877527,15.1503839822632,4.72955008490317e-14,96.9560472778972,56.670059,scaffold_26229_3473,0.920001999999997,57.590061,scaffold_12898_2079,0.02859,NA,0.0739670656004793,NA,57.6351807631579
stepwiseqtl,2014,calyx_diam,4,68.890054,NA,NA,bin_4@68.89cM_scaffold_70138_1273,22.6437237371812,10.6044024483732,2.9770630405323597e-12,97.1658697915205,63.820053,scaffold_14096_210,6.00000199999999,69.820055,contig600,0.02647,NA,0.0518497663921318,NA,69.248268880597
stepwiseqtl,2014,calyx_diam,4,69.820055,NA,NA,bin_4@69.82cM_scaffold_3122_7154,23.4118635493693,11.3329840868759,1.1582956815914299e-12,97.1658697915205,68.890054,scaffold_4386_6805,2.35000199999999,71.240056,scaffold_51672_24,0.02647,NA,0.0518497663921318,NA,69.248268880597
stepwiseqtl,all-years,calyx_diam,4,37.980035,NA,NA,bin_4@37.98cM_scaffold_30462_3194,23.630854797708,12.4027772097291,8.84958772928712e-13,96.9560472778972,33.58003,scaffold_80923_1123,10.280011,43.860041,scaffold_65387_812,0.02859,NA,0.0739670656004793,NA,36.4144662924528
stepwiseqtl,2014,calyx_diam,8,53.450048,NA,NA,bin_8@53.45cM_scaffold_10384_6950,22.2047449136516,10.204981485588,5.10491648952893e-12,97.1658697915205,52.930046,scaffold_57591_1931,1.710004,54.64005,scaffold_67983_1364,0.02647,NA,0.0518497663921318,NA,53.9651276721311
stepwiseqtl,all-years,calyx_lobe_form,1,67.240064,NA,NA,bin_1@67.24cM_scaffold_55812_1447,25.8127513687035,15.5977236647993,6.03961325396085e-14,96.8139467498997,66.530063,scaffold_56373_2256,2.22000300000001,68.750066,scaffold_81148_991,0.03328,NA,0.0245879491169094,NA,69.248268880597
stepwiseqtl,all-years,calyx_lobe_form,11,84.20007,NA,NA,bin_11@84.2cM_scaffold_91230_206,24.3882235950933,13.8457136480488,3.4872105203476197e-13,96.8139467498997,81.230067,scaffold_60268_1863,6.06000399999999,87.290071,scaffold_86259_1061,0.03328,NA,0.0245879491169094,NA,86.5404655
stepwiseqtl,2012,calyx_lobe_size,1,31.200032,NA,NA,bin_1@31.2cM_scaffold_68972_1139,31.6340230825769,14.0626312429392,0,98.1962390119301,25.380027,scaffold_31190_1690,6.890007,32.270034,scaffold_10329_3466,0.00463,NA,0.0173127771340618,NA,32.1342819361702
stepwiseqtl,2012,calyx_lobe_size,7,43.750036,NA,NA,bin_7@43.75cM_scaffold_49114_513,27.469092460732,10.1128263134376,7.882583474838611e-15,98.1962390119301,42.410035,scaffold_7675_2964,2.970002,45.380037,scaffold_46201_1192,0.00463,NA,0.0173127771340618,NA,44.3457994393939
stepwiseqtl,all-years,chimera_eccentricity,6,80.730092,NA,NA,bin_6@80.73cM_scaffold_10468_838,20.5479624993636,13.2737732111459,3.9021008646500396e-11,95.7257985967455,79.240088,scaffold_78684_455,3.460005,82.700093,scaffold_79287_1011,0.01476,NA,0.0417191722874534,NA,81.6812809393939
stepwiseqtl,all-years,chimera_eccentricity,10,4.800006,NA,NA,bin_10@4.8cM_scaffold_21682_3511,20.889561887013,13.690665091613,2.5660140678951396e-11,95.7257985967455,0,scaffold_83189_881,9.000007,9.000007,scaffold_19648_286,0.01476,NA,0.0417191722874534,NA,5.05667071428571
stepwiseqtl,all-years,chimera_eccentricity,11,37.200031,NA,NA,bin_11@37.2cM_scaffold_95332_586,18.0759313995035,10.5317058423637,8.07485078802017e-10,95.7257985967455,36.93003,scaffold_1773_858,1.760006,38.690036,scaffold_4716_3230,0.01476,NA,0.0417191722874534,NA,36.4144662924528
stepwiseqtl,all-years,chimera_eccentricity,11,53.590046,NA,NA,bin_11@53.59cM_scaffold_55939_484,21.0679061165468,13.9122389452489,2.0615842366567e-11,95.7257985967455,50.210044,scaffold_30688_1474,4.570003,54.780047,scaffold_49216_1283,0.01476,NA,0.0417191722874534,NA,53.9651276721311
stepwiseqtl,all-years,chimera_LvW,4,10.82001,NA,NA,bin_4@10.82cM_scaffold_8435_1114,33.9512598221123,21.7973817136921,0,97.6599769773485,7.160008,scaffold_20563_1957,4.160003,11.320011,scaffold_1224_13094,0.00669,NA,0.0304718997935025,NA,9.23871633870968
stepwiseqtl,2014,chimera_umccLogX,4,18.390014999999998,NA,NA,bin_4@18.39cM_scaffold_405_8462,34.8828103028897,20.1463025386717,0,97.9847840335146,15.600013,X416328_K63,2.850003,18.450016,X5ms2b12,0.01644,NA,0.0411592570532534,NA,17.0789887051282
stepwiseqtl,2014,chimera_umccLogX,8,41.690033,NA,NA,bin_8@41.69cM_scaffold_112042_455,26.6207648675483,10.5442534565329,2.24265050974282e-14,97.9847840335146,39.74003,X418192_K63,7.23000500000001,46.970035,scaffold_40880_1057,0.01644,NA,0.0411592570532534,NA,40.5585541111111
stepwiseqtl,all-years,MFM,1,0,NA,NA,bin_1@0cM_scaffold_53968_1097,21.0382451981473,10.3342015442375,2.13802309190214e-11,96.8165893630923,0,scaffold_53968_1097,7.510004,7.510004,scaffold_119801_313,3.74898385897312e-13,0.97292,2.9465953953382e-4,0.5,1.5536383030303
stepwiseqtl,all-years,MFM,4,28.700025,NA,NA,bin_4@28.7cM_scaffold_3474_6975,27.1660366078602,17.4143083584736,1.14352971536391e-14,96.8165893630923,26.790022,scaffold_14937_1946,5.530006,32.320028,X305731_K63,3.74898385897312e-13,0.97292,2.9465953953382e-4,0.5,28.3744702444444
stepwiseqtl,all-years,MFM,10,61.460066,NA,NA,bin_10@61.46cM_scaffold_50997_727,24.4276512289285,13.8804101724163,3.32178728967847e-13,96.8165893630923,58.430065,scaffold_36213_544,6.010003,64.440068,scaffold_54304_23,3.74898385897312e-13,0.97292,2.9465953953382e-4,0.5,61.8062707111111
stepwiseqtl,all-years,MFM,11,37.200031,NA,NA,bin_11@37.2cM_scaffold_95332_586,23.2343788267767,12.5367221488695,1.4406253967535999e-12,96.8165893630923,35.390027,scaffold_1773_837,3.300009,38.690036,scaffold_4716_3230,3.74898385897312e-13,0.97292,2.9465953953382e-4,0.5,36.4144662924528
stepwiseqtl,2012,num_aborted_flower,5,47.720022,NA,NA,bin_5@47.72cM_scaffold_59748_765,26.1143269404937,11.737822979526,4.1744385725905905e-14,97.6613727770767,47.12002,scaffold_11523_4161,9.020009,56.140029,scaffold_44092_795,0.01251,NA,0.0454659942698782,NA,48.3475392142857
stepwiseqtl,all-years,num_aborted_flower,7,19.780016,NA,NA,bin_7@19.78cM_SCF7155,25.5570169799443,13.4951745982688,8.28226376370367e-14,97.1843404442841,15.29001,scaffold_5230_7846,7.48001,22.77002,scaffold_8636_4791,2.2e-4,0.99828,0.0204182652809313,0.00918348169250731,21.3113132037037
stepwiseqtl,2012,num_aborted_flower,8,11.670011,NA,NA,bin_8@11.67cM_scaffold_60441_1041,24.4415256927242,10.2089183775682,3.26627613844721e-13,97.6613727770767,9.880008,scaffold_11240_4170,3.280005,13.160013,scaffold_17866_1388,0.01251,NA,0.0454659942698782,NA,13.1882150512821
stepwiseqtl,all-years,num_aborted_flower,11,6.870004,NA,NA,bin_11@6.87cM_scaffold_27949_1363,24.2837885984402,12.1284263198051,3.96571664396106e-13,97.1843404442841,5.090002,scaffold_138284_80,3.210004,8.300006,SCF41361,2.2e-4,0.99828,0.0204182652809313,0.00918348169250731,9.23871633870968
stepwiseqtl,all-years,num_aborted_flower,12,53.470031,NA,NA,bin_12@53.47cM_scaffold_56236_601,24.1125023511751,11.9535187008566,4.89497331557232e-13,97.1843404442841,50.47003,scaffold_33116_857,4.490004,54.960034,scaffold_60306_1438,2.2e-4,0.99828,0.0204182652809313,0.00918348169250731,53.9651276721311
stepwiseqtl,all-years,num_peds,4,32.320028,NA,NA,bin_4@32.32cM_SCF28100,20.5995470022416,10.7109768620735,3.6627811894618396e-11,96.5671473545536,29.890027,scaffold_116983_232,3.690003,33.58003,scaffold_80923_1123,0.00249,0.999,0.0167180608317388,0.00376797898351024,32.1342819361702
stepwiseqtl,all-years,num_peds,6,15.880017,NA,NA,bin_6@15.88cM_scaffold_78853_330,25.9415350753993,16.9859063511743,5.15143483426073e-14,96.5671473545536,14.630016,scaffold_8136_242,2.220002,16.850018,scf283b,0.00249,0.999,0.0167180608317388,0.00376797898351024,17.0789887051282
stepwiseqtl,2012,num_peds,8,9.880008,NA,NA,bin_8@9.88cM_scaffold_11240_4170,34.7440569926413,25.6537242876954,0,97.4068057639421,7.550007,scaffold_71559_93,4.120004,11.670011,scaffold_60441_1041,0.01993,NA,0.00854373190781447,NA,9.23871633870968
stepwiseqtl,2012,num_peds,11,58.570053,NA,NA,bin_11@58.57cM_scaffold_1316_7389,24.0144011891002,10.9176611122667,5.52224932448553e-13,97.4068057639421,56.580049,scaffold_117882_187,2.890006,59.470055,scaffold_7424_3241,0.01993,NA,0.00854373190781447,NA,57.6351807631579
stepwiseqtl,all-years,num_seeds,1,88.550077,NA,NA,bin_1@88.55cM_scaffold_20176_1206,29.8391102122482,16.2803689402828,4.44089209850063e-16,97.5971161267539,81.390076,scaffold_9812_7345,10.790004,92.18008,scaffold_105165_459,2.62329368779594e-10,NA,5.1089405325903e-4,NA,86.5404655
stepwiseqtl,all-years,num_seeds,3,40.480037,NA,NA,bin_3@40.48cM_scaffold_61162_731,29.3428520579622,15.6538340749053,7.771561172376101e-16,97.5971161267539,39.510036,scaffold_10536_5015,6.000005,45.510041,scaffold_12440_4793,2.62329368779594e-10,NA,5.1089405325903e-4,NA,40.5585541111111
stepwiseqtl,all-years,num_seeds,7,7.160001,NA,NA,bin_7@7.16cM_scaffold_33596_1894,33.2041020036722,21.1421872510077,0,97.5971161267539,0.59,scaffold_13015_2407,10.210002,10.800002,scaffold_86641_502,2.62329368779594e-10,NA,5.1089405325903e-4,NA,9.23871633870968
stepwiseqtl,2011,PAC,7,49.58004,NA,NA,bin_7@49.58cM_scaffold_11351_6036,29.9555280210013,13.1721254636367,4.44089209850063e-16,98.0736345742928,47.540039,scaffold_16392_3223,7.860012,55.400051,scaffold_84186_326,0.0078,NA,0.0179519822172444,NA,48.3475392142857
stepwiseqtl,2012,PAC,7,24.260023,NA,NA,bin_7@24.26cM_scaffold_281_9110,8.27387532575902,31.1296597097189,1.63845455758427e-7,59.3587411588831,19.780016,SCF7155,13.37001,33.150026,scaffold_198_16611,0.00385,NA,0.0164508168340942,NA,24.74282036
stepwiseqtl,all-years,PAC,7,25.820025,NA,NA,bin_7@25.82cM_SCF25221,26.0373175441333,15.0634220716053,4.5852210917018997e-14,96.9796634183704,24.330024,scaffold_20095_616,8.820002,33.150026,scaffold_198_16611,2.31092750567319e-6,0.99642,0.00451386250652153,0.0220428211206335,24.74282036
stepwiseqtl,2011,PAC,8,66.000067,NA,NA,bin_8@66cM_SCF17979,29.4147567945224,12.6212267149937,6.66133814775094e-16,98.0736345742928,65.410066,scaffold_108_8874,2.990002,68.400068,scaffold_10868_6358,0.0078,NA,0.0179519822172444,NA,65.2193623255814
stepwiseqtl,2012,PAC,11,38.690036,NA,NA,bin_11@38.69cM_scaffold_75872_1322,6.51823447142212,22.9710728565275,5.62198926601365e-6,59.3587411588831,32.730024,scaffold_6680_3258,14.890018,47.620042,scaffold_33043_2724,0.00385,NA,0.0164508168340942,NA,40.5585541111111
stepwiseqtl,2011,PFR,4,80.730061,NA,NA,bin_4@80.73cM_scaffold_12481_3093,22.0039050839575,12.4220341485566,6.53310738840673e-12,96.4886404726128,71.240056,scaffold_51672_24,10.490006,81.730062,scaffold_20651_3554,0.00183,NA,0.00780151195716219,NA,81.6812809393939
stepwiseqtl,2012,PFR,9,64.230041,NA,NA,bin_9@64.23cM_scaffold_37146_830,10.1889710396525,13.6609006565032,2.03729286774035e-7,86.5331886102536,58.280036,scaffold_184159_199,7.440006,65.720042,scaffold_5384_8241,0.00239,NA,0.0297110025193856,NA,65.2193623255814
stepwiseqtl,2012,PFR,11,27.29002,NA,NA,bin_11@27.29cM_scaffold_19953_2715,11.8759756806792,16.9961075160442,1.32163129329399e-8,86.5331886102536,21.880016,scaffold_71024_1614,9.350007,31.230023,scaffold_28235_2302,0.00239,NA,0.0297110025193856,NA,28.3744702444444
stepwiseqtl,all-years,SFY,10,62.450067,NA,NA,bin_10@62.45cM_scaffold_21402_3106,32.0831545616178,24.5531158143533,0,96.9582605201686,61.460066,SCF174394,2.980002,64.440068,scaffold_54304_23,0.02238,NA,0.0412960716130564,NA,61.8062707111111
stepwiseqtl,all-years,SFY,11,27.29002,NA,NA,bin_11@27.29cM_scaffold_19953_2715,21.465450446543,10.2591819947299,1.2655210213097199e-11,96.9582605201686,21.880016,scaffold_71024_1614,9.350007,31.230023,scaffold_28235_2302,0.02238,NA,0.0412960716130564,NA,28.3744702444444
stepwiseqtl,all-years,SFY,12,46.970026,NA,NA,bin_12@46.97cM_scaffold_6159_7441,21.8550115566779,10.620139041351,7.84394771358166e-12,96.9582605201686,44.600024,scaffold_15718_3616,4.160003,48.760027,scaffold_24404_4173,0.02238,NA,0.0412960716130564,NA,48.3475392142857
stepwiseqtl,all-years,TA,11,16.420014,NA,NA,bin_11@16.42cM_scaffold_170652_55,24.5244519845974,20.2925140199861,2.44249065417534e-14,95.3838848544404,15.290013,scaffold_24233_376,4.890002,20.180015,scaffold_72495_1231,9.86519300866169e-6,NA,0.00491260361210608,NA,17.0789887051282
stepwiseqtl,2012,Tacy,3,56.180046,NA,NA,bin_3@56.18cM_scf5304,13.6943891438731,60.9867379960258,6.71018796083445e-13,60.9867379960258,42.860039,scaffold_43967_1301,18.100008,60.960047,scaffold_72821_1430,7e-5,NA,0.00637325336653924,NA,57.6351807631579
stepwiseqtl,2014,Tacy,3,36.490033,NA,NA,bin_3@36.49cM_scaffold_3243_9538,38.6869957485023,21.5047732948612,0,98.381095559933,36.190032,scaffold_12185_2899,2.760003,38.950035,scaffold_14492_5182,0.00213,NA,0.0281609610489412,NA,36.4144662924528
stepwiseqtl,2014,Tacy,6,38.120044,NA,NA,bin_6@38.12cM_scaffold_1960_8739,32.5123210156981,13.5075888623713,0,98.381095559933,37.840043,scaffold_1002_800,0.930002000000002,38.770045,scaffold_63438_577,0.00213,NA,0.0281609610489412,NA,36.4144662924528
stepwiseqtl,all-years,Tacy,6,38.770045,NA,NA,bin_6@38.77cM_scaffold_63438_577,21.8265434927797,10.0789515081914,8.889555758173629e-13,97.1059857944285,37.840043,scaffold_1002_800,2.520004,40.360047,scaffold_63438_594,1.81145898671208e-21,NA,6.1230367053146e-4,NA,40.5585541111111
stepwiseqtl,all-years,total_berry_weight,3,36.190032,NA,NA,bin_3@36.19cM_scaffold_6553_5632,25.9945238503659,12.9953049650595,4.84057238736568e-14,97.3851174696814,34.780029,scaffold_2087_7048,1.710004,36.490033,scaffold_106895_552,6.3e-4,0.99773,0.0232991136565912,0.00477466371544669,36.4144662924528
stepwiseqtl,all-years,total_berry_weight,9,80.040051,NA,NA,bin_9@80.04cM_ct154206,23.3617365117868,10.4113087929402,1.2319034681240699e-12,97.3851174696814,75.260048,scaffold_17741_2859,8.960005,84.220053,scaffold_30128_1137,6.3e-4,0.99773,0.0232991136565912,0.00477466371544669,78.9430342962963
stepwiseqtl,all-years,TY,10,12.580011,NA,NA,bin_10@12.58cM_scaffold_90650_663,7.31959287794297,11.9675494273341,1.00214343705662e-5,81.6967106639458,4.800006,scaffold_21682_3511,11.930007,16.730013,scaffold_15130_690,0.00232,NA,0.0148437410666786,NA,13.1882150512821
stepwiseqtl,all-years,TY,10,61.460066,NA,NA,bin_10@61.46cM_scaffold_50997_727,13.0609743754201,26.6135281237976,5.15196219019742e-10,81.6967106639458,58.430065,scaffold_36213_544,6.010003,64.440068,scaffold_54304_23,0.00232,NA,0.0148437410666786,NA,61.8062707111111
stepwiseqtl,all-years,TY,11,38.070035,NA,NA,bin_11@38.07cM_scaffold_7181_4242,7.13511755558955,11.5861472564188,1.37231076819955e-5,81.6967106639458,32.730024,scaffold_6680_3258,20.270021,53.000045,SCF120937,0.00232,NA,0.0148437410666786,NA,36.4144662924528
stepwiseqtl,all-years,TY,12,48.760027,NA,NA,bin_12@48.76cM_scaffold_24404_4173,13.1593229371022,26.9181889303944,4.34562830164964e-10,81.6967106639458,38.110015,scaffold_75253_1014,10.700013,48.810028,scaffold_10455_4718,0.00232,NA,0.0148437410666786,NA,48.3475392142857
stepwiseqtl,2011,ULvW,2,43.420044,NA,NA,bin_2@43.42cM_scaffold_1741_1883,27.8786622509678,21.9635838771049,4.773959005888171e-15,96.2100041850323,42.110042,scaffold_10951_6083,5.680003,47.790045,ct89348,2.7e-4,NA,5.1172108243789e-4,NA,44.3457994393939
stepwiseqtl,all-years,ULvW,2,25.640029,NA,NA,bin_2@25.64cM_scaffold_63671_1144,20.3043601944784,12.6440750843041,5.261213686935659e-11,95.8371857043483,24.150027,scaffold_50215_1124,4.030003,28.18003,scaffold_64776_966,6.42997094200609e-35,NA,8.074095994432e-5,NA,24.74282036
stepwiseqtl,2011,ULvW,7,64.690061,NA,NA,bin_7@64.69cM_scaffold_79143_1116,19.1885702458346,10.3820279547744,2.06651806777813e-10,96.2100041850323,60.620057,scaffold_20427_5005,5.250005,65.870062,SCF128307,2.7e-4,NA,5.1172108243789e-4,NA,65.2193623255814
stepwiseqtl,2011,ULvW,10,36.020036,NA,NA,bin_10@36.02cM_scaffold_18203_3098,19.2259626601582,10.4184986864524,1.97395211287699e-10,96.2100041850323,35.420034,scaffold_2979_9917,6.170009,41.590043,scaffold_188333_62,2.7e-4,NA,5.1172108243789e-4,NA,36.4144662924528
stepwiseqtl,2011,ULvW,11,9.570008,NA,NA,bin_11@9.57cM_scaffold_125_21038,24.6075358898222,16.7780030917784,2.66231481305113e-13,96.2100041850323,8.360007,scaffold_49144_617,2.710002,11.070009,scaffold_12068_4841,2.7e-4,NA,5.1172108243789e-4,NA,9.23871633870968
stepwiseqtl,2014,ULvW,11,16.420014,NA,NA,bin_11@16.42cM_scaffold_170652_55,6.51590871693017,36.1008233598513,2.95100919911473e-6,36.1008233598513,9.570008,scaffold_125_21038,14.290009,23.860017,scaffold_101041_374,0.00465,NA,0.00112353908148539,NA,17.0789887051282
stepwiseqtl,all-years,ULvW,11,11.74001,NA,NA,bin_11@11.74cM_scaffold_35099_251,21.0087452249987,13.4778022762981,2.2168489266505298e-11,95.8371857043483,9.570008,scaffold_125_21038,4.480003,14.050011,scaffold_13093_5426,6.42997094200609e-35,NA,8.074095994432e-5,NA,13.1882150512821
stepwiseqtl,all-years,UMFM,2,23.700025,NA,NA,bin_2@23.7cM_scaffold_8755_2482,18.7269752935862,13.5186675549065,5.4795945558794295e-11,94.8452169904432,22.530024,scaffold_798_5968,1.620003,24.150027,scaffold_50215_1124,1.52072805092155e-7,NA,0.00136696182502674,NA,24.74282036
stepwiseqtl,all-years,UMFM,10,35.900035,NA,NA,bin_10@35.9cM_scaffold_10256_1367,27.8406025629657,29.7812147823476,2.2204460492503099e-16,94.8452169904432,34.830033,scaffold_140834_192,1.190003,36.020036,scaffold_18203_3098,1.52072805092155e-7,NA,0.00136696182502674,NA,36.4144662924528
